date,load
1/1/2009 1:00,30360
1/1/2009 2:00,29155
1/1/2009 3:00,28086
1/1/2009 4:00,28031
1/1/2009 5:00,27730
1/1/2009 6:00,30490
1/1/2009 7:00,37081
1/1/2009 8:00,46975
1/1/2009 9:00,57261
1/1/2009 10:00,63679
1/1/2009 11:00,65123
1/1/2009 12:00,65142
1/1/2009 13:00,64745
1/1/2009 14:00,64783
1/1/2009 15:00,64607
1/1/2009 16:00,61089
1/1/2009 17:00,52406
1/1/2009 18:00,50328
1/1/2009 19:00,52425
1/1/2009 20:00,50457
1/1/2009 21:00,41577
1/1/2009 22:00,36002
1/1/2009 23:00,33522
1/2/2009 0:00,30625
1/2/2009 1:00,29060
1/2/2009 2:00,27586
1/2/2009 3:00,26846
1/2/2009 4:00,26561
1/2/2009 5:00,26626
1/2/2009 6:00,29623
1/2/2009 7:00,36612
1/2/2009 8:00,48735
1/2/2009 9:00,57640
1/2/2009 10:00,62674
1/2/2009 11:00,64199
1/2/2009 12:00,63426
1/2/2009 13:00,62501
1/2/2009 14:00,63652
1/2/2009 15:00,63210
1/2/2009 16:00,62199
1/2/2009 17:00,54278
1/2/2009 18:00,50700
1/2/2009 19:00,52979
1/2/2009 20:00,50947
1/2/2009 21:00,41600
1/2/2009 22:00,35936
1/2/2009 23:00,32087
1/3/2009 0:00,29645
1/3/2009 1:00,28288
1/3/2009 2:00,26990
1/3/2009 3:00,26284
1/3/2009 4:00,26047
1/3/2009 5:00,25965
1/3/2009 6:00,27347
1/3/2009 7:00,29320
1/3/2009 8:00,33989
1/3/2009 9:00,44474
1/3/2009 10:00,51617
1/3/2009 11:00,52517
1/3/2009 12:00,50691
1/3/2009 13:00,47800
1/3/2009 14:00,47629
1/3/2009 15:00,46962
1/3/2009 16:00,46680
1/3/2009 17:00,45825
1/3/2009 18:00,46635
1/3/2009 19:00,50761
1/3/2009 20:00,49260
1/3/2009 21:00,40557
1/3/2009 22:00,34675
1/3/2009 23:00,31996
1/4/2009 0:00,29536
1/4/2009 1:00,28364
1/4/2009 2:00,26949
1/4/2009 3:00,25615
1/4/2009 4:00,25146
1/4/2009 5:00,24969
1/4/2009 6:00,24833
1/4/2009 7:00,23998
1/4/2009 8:00,25935
1/4/2009 9:00,35521
1/4/2009 10:00,41549
1/4/2009 11:00,42181
1/4/2009 12:00,42797
1/4/2009 13:00,42573
1/4/2009 14:00,42768
1/4/2009 15:00,42478
1/4/2009 16:00,41759
1/4/2009 17:00,41730
1/4/2009 18:00,43558
1/4/2009 19:00,46955
1/4/2009 20:00,45841
1/4/2009 21:00,37817
1/4/2009 22:00,31649
1/4/2009 23:00,28601
1/5/2009 0:00,28846
1/5/2009 1:00,27669
1/5/2009 2:00,26661
1/5/2009 3:00,25805
1/5/2009 4:00,26181
1/5/2009 5:00,27499
